R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,R_0,I_0
31.12979218922844,0.32504850069848557,73.05,0.10537699550783264,45.66,0.677147359002964,0.7115546696392689,0.25372181138276534,0.001366802476865176,0.7448137332835163,0.00009765285685304057
42.71108909669408,0.4468869363867235,73.05,0.25095101500465056,45.66,0.9504589610532473,0.7691930149860324,0.14144654657588268,0.000995852009245013,0.8574863285817189,0.00007127283315343012
42.79714672531507,0.44611357893884984,73.05,0.26559020546369105,45.66,1,0.7854661799146827,0.011464585243583104,0.0003101317290251327,0.9881590588796052,0.00006622414778652313
44.47351276990982,0.45862418125089777,73.05,0.2852034166636309,45.66,1,0.8086212568431618,0.005199596892640365,0.001718986732706905,0.993019014556457,0.00006240181819570696
29.306034824049338,0.30879837605186344,73.05,0.07909536190561595,45.66,0.6055786895136229,0.8204372668312927,0.10928213994883608,0.0007451054996511551,0.8899540087833397,0.00001874576817298357
30.3997344444047,0.3309396678125691,73.05,0.05996794249900167,45.66,0.5516129519454703,0.8368609619593591,0.7169946408743868,0.0019248974096241803,0.2810271166822982,0.00005334503369088094
43.11666472400455,0.442564970044209,73.05,0.26606899196155076,45.66,0.8800459072627974,0.8681608693645386,0.32215298493824207,0.0014108441828133682,0.6763108254841211,0.00012534539482339597
43.16473856958884,0.4426104307172455,73.05,0.26631417151677084,45.66,0.8503256549781043,0.896456362957395,0.6993178826537682,0.003271176127992875,0.2970625080958255,0.0003484331224136214
31.236618596254768,0.32439840644370105,73.05,0.10584853984404594,45.66,0.5784999053614432,0.905881549717131,0.45564010808913463,0.00038074802040567057,0.5438758419923202,0.00010330189813962702
43.220871053699135,0.44266184108425605,73.05,0.2674405889258893,45.66,0.8369695039557302,0.9205732995140093,0.13077768417352648,0.00021009411356396853,0.8689398112685035,0.00007241044440605519
42.87244405612836,0.4396779602078009,73.05,0.26231779628558344,45.66,0.8125773444539907,0.9448097981386194,0.11192069085894754,0.000708527888043058,0.8873224706214324,0.00004831063157685967
43.185552071723656,0.44198082928188065,73.05,0.266455616648524,45.66,0.792812974175738,0.9682399670414013,0.22549191081979247,0.0003231218648278699,0.7740779506850662,0.00010701663031343585
43.18930155848599,0.4422672342377612,73.05,0.26652140549498193,45.66,0.7914678284482126,0.9946151032384253,0.21623841789601306,0.0006880313296691325,0.7830662496652316,0.000007301109086114692
31.12979218922844,0.32504850069848557,73.05,0.10537699550783264,45.66,0.677147359002964,0.7045095739002663,0.25372181138276534,0.001366802476865176,0.7448137332835163,0.00009765285685304057
