"R0","amplitude","gamma","mu","sigma","rho","psi","S_0","E_0","R_0","I_0","LogLik"
83.1663396333761,0.478543097076269,73.05,0.051228101371815,45.66,0.606053936651612,0.224006321555639,0.0355712890625,2.34E-05,0.1997314453125,3.98E-06,-9996.280044
36.9361282082297,0.002209068178418,73.05,0.013245478499516,45.66,0.458143828282121,1.32435669128053,0.0855712890625,7.34E-05,0.6497314453125,5.4E-05,-4652.748497
144.630053972806,0.369091025026715,73.05,0.780185242986143,45.66,0.759513262055075,0.828912036130191,0.0105712890625,4.84E-05,0.4247314453125,7.9E-05,-4291.026157
118.297442816849,0.737803845205462,73.05,0.739961678741593,45.66,0.391186710128118,0.540419243909587,0.0605712890625,9.84E-05,0.8747314453125,2.9E-05,-9993.306183
76.3765059928968,0.751625812406391,73.05,0.207673343820104,45.66,0.107894006263048,18.2267512907417,0.0043212890625,1.71E-05,0.8184814453125,9.77E-05,-5729.989851
220.123761967622,0.736690979340455,73.05,3.28E-09,45.66,0.677399223393443,1.25662835261598,0.0543212890625,6.71E-05,0.3684814453125,4.77E-05,-4656.134549
362.489640295612,0.038891649298486,73.05,0.746180182940866,45.66,0.076991378318688,0.930784668494393,0.0293212890625,4.21E-05,0.5934814453125,2.27E-05,-9989.321903
55.9007304176769,0.544153589827532,73.05,0.244663202065821,45.66,0.538250520659263,0.426789291152246,0.0793212890625,9.21E-05,0.1434814453125,7.27E-05,-7684.57192
88.0658872907696,0.160493340260225,73.05,0.600162856291969,45.66,0.675092959078505,0.169754976751144,0.0668212890625,4.61E-06,0.4809814453125,1.02E-05,-9986.936938
249.745905046167,0.668011747080178,73.05,0.12836506738497,45.66,0.162063681344571,0.560552543114989,0.0168212890625,5.46E-05,0.0309814453125,6.02E-05,-9338.938214
144.62090437844,0.369072423993854,73.05,0.780035282286898,45.66,0.759501521245728,0.828852067402605,0.0918212890625,2.96E-05,0.7059814453125,8.52E-05,-4291.024672
10.302734375,0.919189453125,73.05,0.376220703125,45.66,0.410888671875,0.307861328125,0.0418212890625,7.96E-05,0.2559814453125,3.52E-05,-22671.252826
7.177734375,0.153564453125,73.05,0.798095703125,45.66,0.520263671875,0.948486328125,0.0558837890625,2.81E-05,0.0169189453125,5.55E-05,-22671.252826
1042.66359025823,0.625402160058322,73.05,0.233518176399543,45.66,0.146142248229636,0.472481209920988,0.0058837890625,7.81E-05,0.4669189453125,5.54E-06,-9979.87615
144.630986159439,0.369090927589086,73.05,0.78019404199648,45.66,0.759521864257955,0.82888207808127,0.0808837890625,3.05E-06,0.2419189453125,3.05E-05,-4291.025195
83.5715642767317,0.899481445642034,73.05,0.045886703881468,45.66,0.270225002349704,0.697632893071288,0.0308837890625,5.31E-05,0.6919189453125,8.05E-05,-11894.495448
144.623102315433,0.369087930162958,73.05,0.780053966177214,45.66,0.75949190235318,0.828915688490558,0.0183837890625,4.06E-05,0.3544189453125,4.3E-05,-4291.024858
144.628230385174,0.36908313507758,73.05,0.780146819556916,45.66,0.759515841472054,0.828927788566801,0.0683837890625,9.06E-05,0.8044189453125,9.3E-05,-4291.024589
590.273694546179,0.332555593982361,73.05,0.421965828676051,45.66,0.008963489079991,89.4274713377958,0.0433837890625,1.56E-05,0.1294189453125,6.8E-05,-4772.289469
151.663343532862,0.387205513226534,73.05,0.877520256926061,45.66,0.819055430162144,0.803340251173366,0.0933837890625,6.56E-05,0.5794189453125,1.8E-05,-4291.881901
