time,S,E,R,I,H
1946.18480492813,113801.96655161201,819.4126728806046,1654211.0750061122,480.7763671806221,1230.996338679368
1946.22313483915,114215.09042340264,985.3067551165144,1655688.7715345686,577.8265887766074,1477.7014952769978
1946.26146475017,114271.07818729557,1183.0837359706281,1657465.050964262,694.2913152331262,1776.2844013839922
1946.29979466119,114736.57927228164,914.8156516680864,1659453.6299982725,647.7323782773387,1988.5840114667085
1946.33812457221,115326.80761993951,944.5732783009918,1661053.2722027637,560.1014940953174,1599.6471873633295
1946.37645448323,115432.0550911121,1141.3309066464062,1662766.695661492,669.4144273330361,1713.4284464290608
1946.41478439425,115134.32726945505,1366.5938164467352,1664823.157373575,802.9033154977886,2056.46670542421
1946.45311430527,114378.61535931149,1621.570537782184,1667281.1811789456,955.8445842544265,2458.0288054725615
1946.49144421629,113128.16939263314,1897.586212161114,1670190.3175237936,1124.112613974002,2909.1413529934966
1946.52977412731,111374.91419699867,2178.743250536535,1673582.869889444,1299.3766848218556,3392.5573832474406
1946.56810403833,110308.31144540907,1699.2057923551329,1677299.3292569497,1217.5200033202416,3716.464395938756
1946.60643394935,110550.9995653054,1115.4527619111382,1680121.7664267812,817.3544172843652,2822.4422083125746
1946.64476386037,111399.79297459414,740.0660078508317,1681997.860310673,541.8047484487923,1876.0989293345478
1946.68309377139,112647.06954005882,494.3830022677593,1683243.853976491,360.91259009323534,1245.9987158791682
1946.72142368241,113736.41891956443,563.172653074045,1684169.4335777198,336.63322297643356,925.5846544331271
1946.75975359343,114638.94923196633,651.7089923191845,1685179.947985304,387.2356252707075,1010.5194636479231
1946.79808350445,115348.36839365898,757.1303491567409,1686348.1742392043,449.09651148960154,1168.2313132253407
1946.83641341547,116104.475321431,680.2601953381247,1687684.7940653476,470.91176718677235,1336.6248892448223
1946.87474332649,116800.10896699846,777.9679625167992,1688931.395132457,461.38534029286325,1246.6061341136174
1946.91307323751,117205.58971874653,916.1167798743525,1690331.0648172349,541.2463365609713,1399.6747556968323
1946.95140314853,117319.3886753415,1077.3657053974316,1691976.542560822,636.6251582177923,1645.4828190655921
1946.98973305955,117492.49164252613,973.3759306277092,1693879.9667680946,672.7364031247113,1903.4292881021388
1947.02806297057,118245.24035883964,790.3234603377385,1695486.848433201,497.5513338441407,1606.8867513782525
