R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,R_0,I_0,LogLik
132.1956562811153,0.33181620216573954,73.05,0.5020612335792195,45.66,0.7618620880445386,0.6189889929264345,0.0008056640625,0.0000800048828125,0.1329345703125,0.0000051513671875,-4341.330949
139.4414720251563,0.3468333855016604,73.05,0.6095568352675088,45.66,0.7849213933120278,0.6394038879508005,0.0275634765625,0.0000645751953125,0.8589111328125,0.0000604248046875,-4334.00157
145.54898098104985,0.359057386927596,73.05,0.6913480651152295,45.66,0.8055753615303061,0.6554638547962057,0.0614501953125,0.0000334228515625,0.1461181640625,0.0000460693359375,-4330.157729
131.77436304011582,0.32860269405114734,73.05,0.4998076571243029,45.66,0.7249323234898121,0.676131144787284,0.095263671875,0.000021630859375,0.148974609375,0.000073974609375,-4325.131938
132.94210987587294,0.3324901614903785,73.05,0.5156063079538903,45.66,0.7165710330830144,0.6990137984937209,0.095556640625,0.0000149,0.049658203125,0.0000428,-4320.555083
140.34254634199456,0.34860437960309415,73.05,0.6175869500283213,45.66,0.7382547411185941,0.7259703288441144,0.022314453125,0.000015869140625,0.515478515625,0.000055126953125,-4316.288633
137.97106947505802,0.3442540687732596,73.05,0.5884886174033115,45.66,0.7161695941654883,0.7520731801859418,0.0078369140625,0.0000245361328125,0.4774658203125,0.0000278076171875,-4313.447931
134.57525328099626,0.33589181036719684,73.05,0.5392126045213473,45.66,0.6922830408669135,0.7685067756797852,0.022802734375,0.000083544921875,0.769482421875,0.000066357421875,-4312.278559
132.67141285103787,0.33046701453093835,73.05,0.5135200458869105,45.66,0.667740509039083,0.7958035275217528,0.033349609375,0.000044091796875,0.470654296875,0.000051904296875,-4310.963809
133.91974414177398,0.33360659949231086,73.05,0.5329061535647681,45.66,0.6640072677470722,0.8152261188833798,0.029833984375,0.000078076171875,0.762451171875,0.000026513671875,-4310.119353
138.6520804324893,0.3436333413030416,73.05,0.599998275452448,45.66,0.6765302437083893,0.8339613350839332,0.0009033203125,0.0000752197265625,0.6980712890625,0.0000284912109375,-4309.459072
138.16274988587065,0.34262461959730817,73.05,0.5925092310141928,45.66,0.6634238113589067,0.8558327656036535,0.0449462890625,0.0000764892578125,0.7903564453125,0.0000446044921875,-4309.337717
138.44849756647378,0.3442003068355591,73.05,0.5935806512658501,45.66,0.6637090016074974,0.8579708842659953,0.026416015625,0.0000293,0.200830078125,0.0000159,-4309.358527
139.0087707238949,0.34243604862682553,73.05,0.6072178198026527,45.66,0.6559383772363864,0.879042537097233,0.066455078125,0.000003759765625,0.146337890625,0.000035986328125,-4309.503327
31.278377034865443,0.3186754284715376,73.05,0.10490663869806414,45.66,0.6202996128461604,0.917391688687021,0.0796142578125,0.0000133056640625,0.1900634765625,0.0000361083984375,-4305.660865
142.98196689039492,0.3496500715636876,73.05,0.6649082835483497,45.66,0.6511761314943104,0.9233740491688525,0.0374267578125,0.0000117431640625,0.2603759765625,0.0000095458984375,-4310.824945
30.226892037786627,0.35981951681973523,73.05,0.02772274665337275,45.66,0.5002659717380592,0.9444032749214467,0.027294921875,0.000089599609375,0.816943359375,0.000009130859375,-4307.452729
138.5097044711843,0.3418692870070539,73.05,0.6007205022988095,45.66,0.6166685434032045,0.9683857111091222,0.0331298828125,0.0000715087890625,0.7631103515625,0.0000380615234375,-4312.451125
147.16175741571354,0.3583030472003795,73.05,0.723841200782446,45.66,0.6449662131885527,0.9800290294638683,0.039501953125,0.000054931640625,0.079541015625,0.000056689453125,-4313.842414
134.65828470536326,0.3398779272393999,73.05,0.5324317356289971,45.66,0.7774022316369373,0.6128603890360738,0.0008056640625,0.0000800048828125,0.1329345703125,0.0000051513671875,-4343.288119
159.29675662743415,0.38088727229400043,73.05,0.8920257807208047,45.66,0.888416887550938,0.6330731563869312,0.0275634765625,0.0000645751953125,0.8589111328125,0.0000604248046875,-4342.068817
145.12364860624712,0.3580223358309449,73.05,0.6872589882223948,45.66,0.8034268530320033,0.6489741136596097,0.0614501953125,0.0000334228515625,0.1461181640625,0.0000460693359375,-4331.883414
131.5674988446486,0.32839025726913323,73.05,0.49817139025101187,45.66,0.7263759964835309,0.6694367770171128,0.095263671875,0.000021630859375,0.148974609375,0.000073974609375,-4326.683663
133.11147225943031,0.33276162657891695,73.05,0.5180343750639532,45.66,0.7221613803195174,0.6920928697957632,0.095556640625,0.0000149,0.049658203125,0.0000428,-4321.718385
140.62181315754708,0.3486022991185709,73.05,0.6259363073316169,45.66,0.7456674895848705,0.7187825038060538,0.022314453125,0.000015869140625,0.515478515625,0.000055126953125,-4317.221835
137.9362427582922,0.3439288951575511,73.05,0.5840057878274303,45.66,0.7162071736457154,0.74462691107519,0.0078369140625,0.0000245361328125,0.4774658203125,0.0000278076171875,-4314.129875
134.575360959238,0.3358920323102531,73.05,0.5392142460441204,45.66,0.6941871446320075,0.7608977977027577,0.022802734375,0.000083544921875,0.769482421875,0.000066357421875,-4312.841855
132.99770830970837,0.3310862203267433,73.05,0.5154412125583938,45.66,0.671948735561996,0.7879242846750028,0.033349609375,0.000044091796875,0.470654296875,0.000051904296875,-4311.313283
133.5561213764728,0.3316579187880532,73.05,0.5278377770960885,45.66,0.6674337275980212,0.8071545731518612,0.029833984375,0.000078076171875,0.762451171875,0.000026513671875,-4310.392977
138.86188979973417,0.34303492972144267,73.05,0.6021899490171829,45.66,0.6796478505866176,0.8257042921623101,0.0009033203125,0.0000752197265625,0.6980712890625,0.0000284912109375,-4309.620469
138.16276002081725,0.34262462020338424,73.05,0.5925093448171699,45.66,0.6678773860508431,0.8473591738650035,0.0449462890625,0.0000764892578125,0.7903564453125,0.0000446044921875,-4309.350313
138.45041625765347,0.34419555494825355,73.05,0.5935876513450534,45.66,0.6678034808272905,0.8494761230356389,0.026416015625,0.0000293,0.200830078125,0.0000159,-4309.365083
139.00719734823332,0.34242751241219793,73.05,0.6072095878504371,45.66,0.659645853137823,0.8703391456408247,0.066455078125,0.000003759765625,0.146337890625,0.000035986328125,-4309.402901
31.27839435820815,0.3186763249870454,73.05,0.10490712284366467,45.66,0.6252985060025846,0.9083086026604169,0.0796142578125,0.0000133056640625,0.1900634765625,0.0000361083984375,-4305.934125
143.1835727795441,0.35199532366521724,73.05,0.6665583320571169,45.66,0.6553792322598714,0.914231731850349,0.0374267578125,0.0000117431640625,0.2603759765625,0.0000095458984375,-4310.619098
30.226920096359947,0.3598224075157037,73.05,0.02772102939587275,45.66,0.5002665876126815,0.935052747446977,0.027294921875,0.000089599609375,0.816943359375,0.000009130859375,-4307.811148
138.4248701969722,0.34110086559119684,73.05,0.599752037803627,45.66,0.6196285452857166,0.9587977337714081,0.0331298828125,0.0000715087890625,0.7631103515625,0.0000380615234375,-4311.996368
147.16148384686943,0.35830293174140254,73.05,0.7238373005974736,45.66,0.6489116940610851,0.9703257717464042,0.039501953125,0.000054931640625,0.079541015625,0.000056689453125,-4313.364171
139.1466967424443,0.34602402925731385,73.05,0.6015442906658838,45.66,0.7923218446877541,0.6251788828556989,0.0008056640625,0.0000800048828125,0.1329345703125,0.0000051513671875,-4338.563723
139.833931068764,0.3481351851951184,73.05,0.6136257235465783,45.66,0.7801385504820293,0.6457979268303085,0.0275634765625,0.0000645751953125,0.8589111328125,0.0000604248046875,-4332.13512
144.44456218625965,0.3548052559885342,73.05,0.6771245804207677,45.66,0.7870864648779871,0.6620184933441677,0.0614501953125,0.0000334228515625,0.1461181640625,0.0000460693359375,-4328.342245
133.31442258398775,0.3363081486749892,73.05,0.5159683839563254,45.66,0.7296479929535988,0.6828924562351568,0.095263671875,0.000021630859375,0.148974609375,0.000073974609375,-4323.558345
136.25364170848883,0.33780212507914487,73.05,0.5676647082471806,45.66,0.7341188683099332,0.7060039364786581,0.095556640625,0.0000149,0.049658203125,0.0000428,-4319.126341
139.77468960618106,0.3475210724788498,73.05,0.6116006496366241,45.66,0.7308845112191202,0.7332300321325556,0.022314453125,0.000015869140625,0.515478515625,0.000055126953125,-4315.377995
137.9095007945835,0.3415028667059568,73.05,0.5875442874716882,45.66,0.7106874410321208,0.7595939119878012,0.0078369140625,0.0000245361328125,0.4774658203125,0.0000278076171875,-4312.783541
134.8072850980321,0.3353051732852318,73.05,0.5429427602056719,45.66,0.6879986765244382,0.7761918434365831,0.022802734375,0.000083544921875,0.769482421875,0.000066357421875,-4311.748252
132.63039057813404,0.32969776098381137,73.05,0.5122877268733735,45.66,0.6629259039537303,0.8037615627969703,0.033349609375,0.000044091796875,0.470654296875,0.000051904296875,-4310.633371
133.26013778260557,0.3301316632728504,73.05,0.5236828871385364,45.66,0.6562979846298477,0.8233783800722136,0.029833984375,0.000078076171875,0.762451171875,0.000026513671875,-4310.001043
138.86576194426064,0.3429082367754635,73.05,0.6024150928578155,45.66,0.6725739239452047,0.8423009484347725,0.0009033203125,0.0000752197265625,0.6980712890625,0.0000284912109375,-4309.370541
138.11321509500326,0.34257968400867217,73.05,0.5919094525427798,45.66,0.6629378960241604,0.8643910932596901,0.0449462890625,0.0000764892578125,0.7903564453125,0.0000446044921875,-4309.388518
138.32269155652406,0.3434271343546277,73.05,0.5925116832821242,45.66,0.6592022342605544,0.8665505931086552,0.026416015625,0.0000293,0.200830078125,0.0000159,-4309.388189
138.98403243482983,0.34243046488049467,73.05,0.6069667567922494,45.66,0.6542648136803317,0.8878329624682053,0.066455078125,0.000003759765625,0.146337890625,0.000035986328125,-4309.650678
31.278375556044583,0.3186770613278324,73.05,0.10490576383499074,45.66,0.6253355643458424,0.9265656055738912,0.0796142578125,0.0000133056640625,0.1900634765625,0.0000361083984375,-4305.612613
143.49586647783968,0.35027019312652247,73.05,0.6708556072350932,45.66,0.6490715592444161,0.932607789660541,0.0374267578125,0.0000117431640625,0.2603759765625,0.0000095458984375,-4311.226867
30.228975259059855,0.35986019363055394,73.05,0.027745715760367107,45.66,0.5002683631422333,0.9538473076706612,0.027294921875,0.000089599609375,0.816943359375,0.000009130859375,-4307.204394
138.51170600900866,0.3418730092834488,73.05,0.6007526805255523,45.66,0.6154237661976067,0.9780695682202134,0.0331298828125,0.0000715087890625,0.7631103515625,0.0000380615234375,-4312.945729
147.16117313151034,0.35830244074445644,73.05,0.723832660537626,45.66,0.6422042831875396,0.989829319758507,0.039501953125,0.000054931640625,0.079541015625,0.000056689453125,-4314.353694
135.74031608276363,0.3424706768785565,73.05,0.5498579605391654,45.66,0.7890452965208732,0.6067924643921523,0.0008056640625,0.0000800048828125,0.1329345703125,0.0000051513671875,-4345.57852
138.06461405038635,0.34325232862863964,73.05,0.5878329262649065,45.66,0.7840192888151707,0.6268051053335952,0.0275634765625,0.0000645751953125,0.8589111328125,0.0000604248046875,-4337.987353
145.06209042230012,0.35625466214387613,73.05,0.6880634627437352,45.66,0.8075196205080741,0.6425486273857521,0.0614501953125,0.0000334228515625,0.1461181640625,0.0000460693359375,-4333.663995
131.6080790557095,0.33033723121263237,73.05,0.4975794682911309,45.66,0.7313553513849259,0.6628086901159532,0.095263671875,0.000021630859375,0.148974609375,0.000073974609375,-4328.250862
137.64197453885743,0.3426368271169008,73.05,0.5832726812184225,45.66,0.7491607481008105,0.68524046514432,0.095556640625,0.0000149,0.049658203125,0.0000428,-4322.651623
140.08327484275955,0.347223780529119,73.05,0.6166055229815751,45.66,0.7458927251712976,0.7116658453525285,0.022314453125,0.000015869140625,0.515478515625,0.000055126953125,-4318.174836
138.03523294292083,0.34422224570365323,73.05,0.5876308588602875,45.66,0.7211428655160935,0.7372543674011782,0.0078369140625,0.0000245361328125,0.4774658203125,0.0000278076171875,-4314.903912
134.5753178375612,0.33589215835528996,73.05,0.5392132348155194,45.66,0.6979893494527312,0.7533641561413442,0.022802734375,0.000083544921875,0.769482421875,0.000066357421875,-4313.473939
134.65111562872937,0.33611127779379596,73.05,0.543188751699407,45.66,0.6896603902605359,0.7801230541336661,0.033349609375,0.000044091796875,0.470654296875,0.000051904296875,-4311.539398
133.4193815488022,0.3334259706811878,73.05,0.5225971503480302,45.66,0.6715166422099238,0.7991629437147141,0.029833984375,0.000078076171875,0.762451171875,0.000026513671875,-4310.71038
138.7896476921469,0.3428653765144248,73.05,0.6011775647968229,45.66,0.683030757054243,0.8175290021409011,0.0009033203125,0.0000752197265625,0.6980712890625,0.0000284912109375,-4309.792097
138.16275852584894,0.34262458667403173,73.05,0.592509452924585,45.66,0.6709577715984636,0.8389694790742609,0.0449462890625,0.0000764892578125,0.7903564453125,0.0000446044921875,-4309.409997
138.44723863377314,0.34419773697469674,73.05,0.5935424491987835,45.66,0.6712872009625154,0.8410654683521177,0.026416015625,0.0000293,0.200830078125,0.0000159,-4309.400112
139.00858494891284,0.34243881068960763,73.05,0.6072144183730601,45.66,0.6621397156871368,0.8617219263770541,0.066455078125,0.000003759765625,0.146337890625,0.000035986328125,-4309.348356
31.278376556327007,0.3186758351488559,73.05,0.1049063619403471,45.66,0.6281708534285784,0.8993154481786306,0.0796142578125,0.0000133056640625,0.1900634765625,0.0000361083984375,-4306.246353
