R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,I_0,R_0,LogLik
22.7842546380354,0.259932432867832,73.05,2.3800000000000038e-9,45.66,0.43707830691816096,0.922206690790814,0.066281194869685,0.001116555114678,0.00000940484506994996,0.932592845170567,-4268.885481
23.2945178815805,0.25381862172537795,73.05,1.1700000000000002e-35,45.66,0.43628752204903104,0.91792536326942,0.074181462865365,0.001417185543403,0.000160880585006,0.924240471006226,-4256.105746
25.6600819126023,0.280729680588549,73.05,0.0005674961742270002,45.66,0.44279868202462,0.957202382961952,0.751412439845276,0.001661311374447,0.000246681059359,0.246679567720918,-4267.400448
26.7690526640414,0.3073354894168392,73.05,9.364644208831452e-8,45.66,0.4207800780018935,0.9319413901734214,0.098770827848594,0.001000254226596,1.14e-7,0.900228803936432,-4238.315849
28.4836213637284,0.3554716532453455,73.05,4.555269702571264e-7,45.66,0.43405859414094006,0.9259397832146332,0.098770827848594,0.001000254226596,0.900228803936432,1.14e-7,-4235.101851
31.0184036360069,0.3192308191394197,73.05,0.09689197627433607,45.66,0.5627607239366202,0.9154142646098837,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4235.342291
31.2366185962548,0.32439840644370094,73.05,0.10584853984404599,45.66,0.578499905361443,0.905881549717131,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.530926
32.9687591661584,0.466407327273194,73.05,1.214078648368718e-8,45.66,0.47293355529384973,0.9524999875107933,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4254.652055
35.7004419393119,0.42312236801445996,73.05,0.09572168757674801,45.66,0.538805956205942,0.947406118932838,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4256.184179
37.5215232712283,0.39050441529216595,73.05,0.185981819127396,45.66,0.683193988088586,0.923069809037014,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4248.504244
38.6586288810717,0.39920807814817505,73.05,0.206209335030554,45.66,0.733797057535976,0.91473601012074,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4238.179391
39.435498053122,0.40051845942357,73.05,0.21632623505373696,45.66,0.747283608259716,0.931222126051513,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4242.733849
42.2237955759048,0.43345090687256327,73.05,0.2538677150652758,45.66,0.8158611955816502,0.9099670395931605,0.085457800863005,0.000698019317449,0.000129372992303,0.913714806827243,-4236.462853
43.2038352920136,0.442766910464316,73.05,0.266878578655922,45.66,0.8397282153728769,0.908834854043086,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4236.2871
44.0896105618785,0.44156092637360905,73.05,0.2785371090174792,45.66,0.842035113248704,0.9335259156781175,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4244.141366
47.2670223873276,0.4745795325897488,73.05,0.318235884153341,45.66,0.9241480628437115,0.9158971409980725,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4239.25109
48.2205332903665,0.4881573298963804,73.05,0.3331519395347898,45.66,0.9710929734746512,0.9032654064744117,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4236.728284
49.1876785317983,0.4970036506652105,73.05,0.34581956964416993,45.66,0.998312907259801,0.9042591756030405,0.025557210224002,0.000314709336253,0.000100616999754,0.97402746343999,-4238.481038
51.2392247902686,0.514645492412877,73.05,0.373084816854582,45.66,0.99999997832722,0.957927359422459,0.025557210224002,0.000314709336253,0.97402746343999,0.000100616999754,-4243.997757
52.4043475929208,0.523390198918208,73.05,0.38828069725829095,45.66,0.99999996191836,0.989850773085827,0.085250847735422,0.000487785700372,0.0000725610754480625,0.914188805488758,-4248.842635
53.9922517293339,0.544738772540745,73.05,0.423221408221855,45.66,0.9999999999543319,1.11200280630497,0.085250847735422,0.000487785700372,0.0000725610754480625,0.914188805488758,-4271.210834
22.55866795845089,0.24901775158552397,73.05,9.309633235824421e-8,45.66,0.42785835024021995,0.9285690632626182,0.066281194869685,0.001116555114678,0.00000940484506994996,0.932592845170567,-4271.411199
23.063879090673762,0.24144546476354328,73.05,3.252468274194696e-39,45.66,0.4267039268060427,0.9266896468737473,0.074181462865365,0.001417185543403,0.000160880585006,0.924240471006226,-4259.68617
25.406021695645844,0.2330210614614607,73.05,8.991967378986573e-12,45.66,0.43287743294137576,1.1729595394691352,0.751412439845276,0.001661311374447,0.000246681059359,0.246679567720918,-4505.039678
26.50401253865485,0.29141455346474004,73.05,1.7177991425738555e-7,45.66,0.4246797548826841,0.93293295775219,0.098770827848594,0.001000254226596,1.14e-7,0.900228803936432,-4246.576405
28.201605310622178,0.3225299294408381,73.05,0.000005603389118199324,45.66,0.4399217104768857,0.9245758153753055,0.098770827848594,0.001000254226596,0.900228803936432,1.14e-7,-4285.776517
30.711290728719703,0.3202323043998225,73.05,0.07900470849538262,45.66,0.5184924864974372,0.9253083999163562,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4240.400934
30.927345144806733,0.3173702371464631,73.05,0.09274522887577044,45.66,0.5521347945551399,0.9205347467246696,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4237.035961
32.642335808077625,0.45986569185032844,73.05,3.766883909722495e-10,45.66,0.4679219040088577,0.9513841765927498,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4255.482019
35.3469722171405,0.4246840084082359,73.05,0.08739584340329096,45.66,0.5309810421922728,0.947806594980016,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4257.474385
37.150023040820095,0.3851283294668963,73.05,0.17433750416527763,45.66,0.6457790167330257,0.9344391852820204,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4253.526638
38.27587017927891,0.39787195878299725,73.05,0.20009925950071233,45.66,0.722741819962394,0.9127308401828963,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4239.478176
39.04504757734851,0.39988723583200286,73.05,0.211611793587584,45.66,0.74141127444372,0.921321458124577,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4239.397836
41.80573819396515,0.4343941922819317,73.05,0.24680697676859845,45.66,0.8110960918210094,0.9060085024325636,0.085457800863005,0.000698019317449,0.000129372992303,0.913714806827243,-4238.918794
42.77607454654812,0.44593343653926776,73.05,0.25809591041540036,45.66,0.838488111172853,0.9057625450850706,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4240.479988
43.65307976423614,0.4412681477818464,73.05,0.27350363305225833,45.66,0.8405392264436086,0.920166455526667,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4238.924494
46.79903206666099,0.468120801045711,73.05,0.3110796516198554,45.66,0.9030349571208516,0.9234095402928397,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4241.791791
47.7431022676896,0.48131375764138873,73.05,0.32558656588613616,45.66,0.9468418838819713,0.9090446427911753,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4237.431655
48.70067181366168,0.49036547881272835,73.05,0.3377323574252198,45.66,0.9999420219830749,0.8877482873375077,0.025557210224002,0.000314709336253,0.000100616999754,0.97402746343999,-4239.57301
50.73190573293921,0.5056785205968654,73.05,0.36298176227426415,45.66,0.9999999999997549,0.9369491520205525,0.025557210224002,0.000314709336253,0.97402746343999,0.000100616999754,-4247.886001
51.885492666258216,0.5159735833852452,73.05,0.37964228609795797,45.66,0.9995919497684289,0.9829261551350712,0.085250847735422,0.000487785700372,0.0000725610754480625,0.914188805488758,-4250.477561
53.45767497953852,0.5386460879251246,73.05,0.40904171209942897,45.66,0.9999999978204979,1.059730361102333,0.085250847735422,0.000487785700372,0.0000725610754480625,0.914188805488758,-4258.319292
23.012097184415754,0.27147227582874583,73.05,2.0481128994442165e-9,45.66,0.4489087118096716,0.9212431750062969,0.066281194869685,0.001116555114678,0.00000940484506994996,0.932592845170567,-4271.410841
23.527463060396304,0.26696006793037075,73.05,2.423340709536833e-37,45.66,0.44966828781136636,0.9171685955022438,0.074181462865365,0.001417185543403,0.000160880585006,0.924240471006226,-4259.70487
25.916682731728326,0.2777759492810704,73.05,0.014226795598551565,45.66,0.4632635859677392,0.9566678198820981,0.751412439845276,0.001661311374447,0.000246681059359,0.246679567720918,-4270.736531
27.036743190681815,0.3225918808540246,73.05,1.5251512865342616e-8,45.66,0.4204881645600559,0.9247340736856546,0.098770827848594,0.001000254226596,1.14e-7,0.900228803936432,-4240.747049
28.768457577365684,0.3806786318154197,73.05,1.8174235889532516e-31,45.66,0.4441803689260879,0.9481662232137782,0.098770827848594,0.001000254226596,0.900228803936432,1.14e-7,-4276.038775
31.32858767236697,0.3266790775699176,73.05,0.10941121677904282,45.66,0.5839213817010311,0.9033237079939911,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.836565
31.54898478221735,0.33243195704519896,73.05,0.11747173631780726,45.66,0.5964034055797516,0.9006079144555306,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4236.736879
33.29844675781998,0.4733881483382667,73.05,6.086519278512249e-13,45.66,0.4782514241966082,0.9549587267737467,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4255.987411
36.05744635870502,0.4230525874770582,73.05,0.10265513063339704,45.66,0.5453970000221848,0.9485589163883456,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4254.809814
37.89673850394058,0.39509984832276074,73.05,0.19343030224659707,45.66,0.7064888348022708,0.9156759687417094,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4243.223771
39.04521516988242,0.39988352142425626,73.05,0.21160404146655556,45.66,0.7413689498415753,0.921356981801548,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4239.39886
39.829853033653215,0.4014438208595762,73.05,0.22052333594041845,45.66,0.7521762664863457,0.9432291775245013,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4247.626906
42.64603353166385,0.43302043594858,73.05,0.2598050374560244,45.66,0.8193496945303819,0.9188347293975831,0.085457800863005,0.000698019317449,0.000129372992303,0.913714806827243,-4238.271322
43.63587364493374,0.4412989760475129,73.05,0.2732809659931155,45.66,0.8405403850326344,0.9194921704870314,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4238.752805
44.530506667497285,0.4430982974938985,73.05,0.2831085125689592,45.66,0.8527871824374904,0.9348752466313883,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4249.990332
47.73969261120088,0.48126836422037156,73.05,0.3255311686202792,45.66,0.9467099387014254,0.9090900014310914,0.021219138835368,0.000864054452576,0.000122210379212,0.977794596332844,-4237.441159
