R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,I_0,R_0,LogLik
37.73865198464703,0.3967636344035844,73.05,0.16260848920597112,45.66,0.613681713995763,0.9486074557874757,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4252.179862
31.236618596254797,0.3243984064437009,73.05,0.10584853984404599,45.66,0.578499905361443,0.905881549717131,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.530926
31.146530063962352,0.32327090819440646,73.05,0.10171836628233441,45.66,0.5738260972666371,0.9088114662980317,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4233.88428
30.262288856119685,0.35017200633774104,73.05,0.04109188213323009,45.66,0.4750513830859646,0.9291054074498204,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4240.051538
28.4835758242719,0.35546440150874925,73.05,0.000001917483690834001,45.66,0.4341598269067665,0.9257479721440716,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7,-4235.102007
31.622815859529247,0.32964089549140446,73.05,0.12277718825671644,45.66,0.5958190942721917,0.9037821900476745,0.455640108089135,0.000380748020406,0.00010330189814,0.54387584199232,-4239.113856
29.62699777014053,0.3080248172539133,73.05,0.08149203046671802,45.66,0.5440329519616034,0.9108156425655178,0.10928213994883608,0.0007451054996511551,0.8899540087833397,0.00001874576817298357,-4236.204692
28.708931976738633,0.33502352583455,73.05,0.020521674850247366,45.66,0.44903520812374714,0.9275531807287644,0.09877082784859367,0.0010002542265960355,0.9002288039364318,1.139883785817008e-7,-4237.91601
37.78112468304389,0.39333417728871134,73.05,0.1832313157492325,45.66,0.6829129564524143,0.928775536700088,0.048152927551546,0.000633520359687,0.00012598025363,0.951087571835138,-4247.656104
43.21026999484505,0.4426588283294166,73.05,0.26717170093988996,45.66,0.8397740385923277,0.9088437598311501,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4236.288945
43.153700271783784,0.4436668195298718,73.05,0.2645264365741485,45.66,0.8396982938829695,0.9087043736817944,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4236.408311
43.0925447651753,0.444835078254743,73.05,0.2616200163277346,45.66,0.8399376022705103,0.9089472424569858,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4236.901607
41.966656131714416,0.436694827228642,73.05,0.2439654273045296,45.66,0.814479918418178,0.91089396263368,0.085457800863005,0.000698019317449,0.000129372992303,0.913714806827243,-4238.576436
51.32179038202783,0.5144129126629469,73.05,0.3768165842331639,45.66,0.9999999889418528,0.9604183475099262,0.025557210224001786,0.0003147093362534848,0.9740274634399905,0.00010061699975411282,-4244.235896
43.09837993327957,0.44471730282485916,73.05,0.26190736294470146,45.66,0.8399418536061222,0.9088379029335463,0.130777684173526,0.000210094113564,0.0000724104444060552,0.868939811268504,-4236.835506
