"R0","amplitude","gamma","mu","sigma","rho","psi","S_0","E_0","I_0","R_0","LogLik"
35.0434671589315,0.36520997227196,73.05,0.017726018728119,45.66,0.472706521352851,0.896738491810409,0.314189342787157,0.003590012806026,0.68189000635165,0.000330638055167,-4982.436072
28.3153793565282,0.33583650369608,73.05,0.000137663131629,45.66,0.360443864939689,1.19930814886577,0.10928214495048,0.000745105533753,0.889954049514911,1.87000008558649E-05,-4265.099385
28.0191737802595,0.29828970650592,73.05,3.22E-07,45.66,0.419929733814826,0.935690830572325,0.098770827848594,0.001000254226596,0.900228803936432,1.14E-07,-4347.99284
43.4859464464409,0.448154469317428,73.05,0.270408307348181,45.66,0.942045235254207,0.834008840420877,0.00519959689264,0.001718986732707,0.993019014556457,6.2401818195707E-05,-4240.873182
28.4904671948075,0.356039933195571,73.05,2.41E-08,45.66,0.383958479009362,1.01603914077714,0.098770827848594,0.001000254226596,0.900228803936432,1.14E-07,-4239.65443
43.4804396256398,0.447585275186652,73.05,0.270374040642403,45.66,0.923483222482312,0.846680441555723,0.00519959689264,0.001718986732707,0.993019014556457,6.2401818195707E-05,-4239.643277
43.4643859257165,0.445976735583004,73.05,0.270240249477252,45.66,0.869962969576662,0.888715210095584,0.00519959689264,0.001718986732707,0.993019014556457,6.2401818195707E-05,-4237.547522
43.4914538473417,0.448715770822412,73.05,0.270429276126647,45.66,0.960980344482816,0.821234601242298,0.00519959689264,0.001718986732707,0.993019014556457,6.2401818195707E-05,-4242.384807
38.9984736492003,0.313386921756031,73.05,0.092496940477789,45.66,0.511873426441058,1.00561130845246,0.314189342787157,0.003590012806026,0.68189000635165,0.000330638055167,-4801.642981
28.0273252051161,0.299386142822231,73.05,4.23E-08,45.66,0.415772013678046,0.960366691502895,0.098770827848594,0.001000254226596,0.900228803936432,1.14E-07,-4345.269474
35.121734443481,0.365223888987377,73.05,0.017709440937866,45.66,0.482207922432044,0.896355647797675,0.314189342787157,0.003590012806026,0.68189000635165,0.000330638055167,-4959.250334
43.1091138888067,0.44022709007049,73.05,0.265455526492542,45.66,0.769792135046772,0.985293579952366,0.062472137426708,6.51226262598449E-05,0.937322956532081,0.000139783414952,-4239.176658
28.487456380979,0.355774653121032,73.05,2.88E-08,45.66,0.39167604443745,1.01670185876892,0.098770827848594,0.001000254226596,0.900228803936432,1.14E-07,-4238.049504
43.4645495300774,0.445980589923659,73.05,0.270234130408055,45.66,0.869962969576662,0.888716792980785,0.00519959689264,0.001718986732707,0.993019014556457,6.2401818195707E-05,-4237.547523
39.3794163284847,0.320443604949446,73.05,0.091782954964018,45.66,0.528945501790988,0.980280507457455,0.455640108089135,0.000380748020406,0.54387584199232,0.00010330189814,-4803.87076
43.4776928747684,0.447306133965954,73.05,0.270360742537219,45.66,0.914339824239913,0.853249148256895,0.00519959689264,0.001718986732707,0.993019014556457,6.2401818195707E-05,-4239.130999
35.0921229219117,0.365363538518716,73.05,0.017647587106362,45.66,0.47743358656638,0.896301488906289,0.314189342787157,0.003590012806026,0.68189000635165,0.000330638055167,-4970.33099
43.4594091879839,0.445476907291894,73.05,0.270179559699444,45.66,0.852821262206315,0.90411377766968,0.00519959689264,0.001718986732707,0.993019014556457,6.2401818195707E-05,-4237.346337
28.0274968082705,0.299340793201826,73.05,3.45E-07,45.66,0.428370321464504,0.934745053257073,0.098770827848594,0.001000254226596,0.900228803936432,1.14E-07,-4342.985553
39.5159838807317,0.162808474706029,73.05,0.068818938395571,45.66,0.571115296183404,1.15342395464306,0.455640108089135,0.000380748020406,0.54387584199232,0.00010330189814,-4638.200509
